Edge name,Node A,Node B,X of A,Y of A,X of B,Y of B,Avg Speed,Med Speed
381,472,191,-87.6840417707,41.7938765823,-87.6838306032,41.7865287214,26.73401329360532,27.0
382,243,472,-87.6842240325,41.8011461815,-87.6840417707,41.7938765823,26.07162502865001,27.0
383,308,243,-87.6844253566,41.8084257503,-87.6842240325,41.8011461815,20.461494384597753,19.0
384,314,308,-87.6846283806,41.8156959283,-87.6844253566,41.8084257503,23.67774467109787,24.0
385,458,314,-87.6848883856,41.8230606699,-87.6846283806,41.8156959283,29.907403162961266,29.33333333
386,506,458,-87.6848985874,41.8259770206,-87.6848883856,41.8230606699,22.223240889296356,22.0
387,304,506,-87.685222803,41.8390740156,-87.6848985874,41.8259770206,29.62388264955306,30.0
388,500,304,-87.6856431889,41.8520509239,-87.685222803,41.8390740156,27.196539078615633,28.0
389,309,500,-87.685871,41.857506,-87.6856431889,41.8520509239,24.010772404308963,24.5
390,463,309,-87.6860384135,41.866612543,-87.685871,41.857506,25.959889983955993,27.0
391,359,463,-87.6862695002,41.87608362,-87.6860384135,41.866612543,22.13362365345038,23.0
392,480,359,-87.6864614559,41.8826289903,-87.6862695002,41.87608362,20.37955535182214,21.0
393,155,480,-87.6866945095,41.8906480588,-87.6864614559,41.8826289903,23.76759110703644,24.0
394,398,155,-87.6868425976,41.8957432454,-87.6866945095,41.8906480588,25.93628237451295,27.0
395,379,398,-87.6870267628,41.9030161269,-87.6868425976,41.8957432454,23.092023836809535,23.0
396,502,379,-87.6872206971,41.9103208679,-87.6870267628,41.9030161269,20.202154480861793,20.0
397,520,502,-87.6878706559,41.9171295942,-87.6872206971,41.9103208679,22.392619757047903,22.66666667
398,250,520,-87.6876419126,41.9249006821,-87.6878706559,41.9171295942,24.613797845519137,25.0
399,347,250,-87.6877498545,41.9279818073,-87.6876419126,41.9249006821,21.084001833600734,21.0
